super_contest_effect_id,local_language_id,flavor_text
1,5,Permet à l’utilisateur de passer en premier au tour suivant.
1,9,Enables the user to perform first in the next turn.
2,5,Permet de passer en dernier au tour suivant.
2,9,Enables the user to perform last in the next turn.
4,5,Fait gagner +2 si le voltage du juge augmente.
4,9,Earn +2 if the Judge’s Voltage goes up.
5,5,Action basique d’une capacité connue du Pokémon.
5,9,A basic performance using a move known by the Pokémon.
6,5,+3 si aucun autre Pokémon n'a choisi le même juge.
6,9,Earn +3 if no other Pokémon has chosen the same Judge.
7,5,Cette capacité peut être utilisée deux fois de suite.
7,9,Allows performance of the same move twice in a row.
8,5,Des points de voltage s’ajoutent au score de la capacité.
8,9,Increased Voltage is added to the performance score.
9,5,Fait gagner +15 si les Pokémon choisissent tous le même juge.
9,9,Earn +15 if all the Pokémon choose the same Judge.
10,5,Baisse le voltage de tous les juges de un.
10,9,Lowers the Voltage of all Judges by one each.
11,5,Empêche le voltage d’augmenter dans le même tour.
11,9,Earn double the score in the next turn.
12,5,Permet de voler le voltage du Pokémon qui vient de passer.
12,9,Steals the Voltage of the Pokémon that just went.
13,5,Empêche le Voltage d’augmenter dans le même tour.
13,9,Prevents the Voltage from going up in the same turn.
14,5,Rend le passage des concurrents aléatoire au tour suivant.
14,9,Makes the order of contestants random in the next turn.
15,5,Score doublé si passe en premier.
15,9,Earns double the score on the final performance.
16,5,Augmente le score si le voltage est bas.
16,9,Raises the score if the Voltage is low.
17,5,+2 si le Pokémon passe en premier.
17,9,Earn +2 if the Pokémon performs first in the turn.
18,5,+2 si le Pokémon passe en dernier.
18,9,Earn +2 if the Pokémon performs last in the turn.
19,5,Empêche le voltage de baisser dans le même tour.
19,9,Prevents the Voltage from going down in the same turn.
20,5,+3 si deux Pokémon font monter le voltage à la suite.
20,9,Earn +3 if two Pokémon raise the Voltage in a row.
21,5,Obtient un meilleur score plus le Pokémon passe tard.
21,9,Earn a higher score the later the Pokémon performs.
22,5,+3 si le Pokémon précédent a atteint le voltage max.
22,9,Earn +3 if the Pokémon that just went hit max Voltage.
23,5,+3 si le lanceur a le score le plus bas.
23,9,Earn +3 if the Pokémon gets the lowest score.
