type_id,generation_id,game_index
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
4,1,3
4,2,3
4,3,3
4,4,3
4,5,3
4,6,3
4,7,3
4,8,3
4,9,3
5,1,4
5,2,4
5,3,4
5,4,4
5,5,4
5,6,4
5,7,4
5,8,4
5,9,4
6,1,5
6,2,5
6,3,5
6,4,5
6,5,5
6,6,5
6,7,5
6,8,5
6,9,5
7,1,7
7,2,7
7,3,6
7,4,6
7,5,6
7,6,6
7,7,6
7,8,6
7,9,6
8,1,8
8,2,8
8,3,7
8,4,7
8,5,7
8,6,7
8,7,7
8,8,7
8,9,7
9,2,9
9,3,8
9,4,8
9,5,8
9,6,8
9,7,8
9,8,8
9,9,8
10,1,20
10,2,20
10,3,10
10,4,10
10,5,9
10,6,9
10,7,9
10,8,9
10,9,9
11,1,21
11,2,21
11,3,11
11,4,11
11,5,10
11,6,10
11,7,10
11,8,10
11,9,10
12,1,22
12,2,22
12,3,12
12,4,12
12,5,11
12,6,11
12,7,11
12,8,11
12,9,11
13,1,23
13,2,23
13,3,13
13,4,13
13,5,12
13,6,12
13,7,12
13,8,12
13,9,12
14,1,24
14,2,24
14,3,14
14,4,14
14,5,13
14,6,13
14,7,13
14,8,13
14,9,13
15,1,25
15,2,25
15,3,15
15,4,15
15,5,14
15,6,14
15,7,14
15,8,14
15,9,14
16,1,26
16,2,26
16,3,16
16,4,16
16,5,15
16,6,15
16,7,15
16,8,15
16,9,15
17,2,27
17,3,17
17,4,17
17,5,16
17,6,16
17,7,16
17,8,16
17,9,16
18,6,17
18,7,17
18,8,17
18,9,17
19,9,99
10001,2,19
10001,3,9
10001,4,9
