id,identifier,generation_id,order
1,red-blue,1,3
2,yellow,1,4
3,gold-silver,2,5
4,crystal,2,6
5,ruby-sapphire,3,7
6,emerald,3,8
7,firered-leafgreen,3,11
8,diamond-pearl,4,12
9,platinum,4,13
10,heartgold-soulsilver,4,14
11,black-white,5,15
12,colosseum,3,9
13,xd,3,10
14,black-2-white-2,5,16
15,x-y,6,17
16,omega-ruby-alpha-sapphire,6,18
17,sun-moon,7,19
18,ultra-sun-ultra-moon,7,20
19,lets-go-pikachu-lets-go-eevee,7,21
20,sword-shield,8,22
21,the-isle-of-armor,8,23
22,the-crown-tundra,8,24
23,brilliant-diamond-and-shining-pearl,8,25
24,legends-arceus,8,26
25,scarlet-violet,9,27
26,the-teal-mask,9,28
27,the-indigo-disk,9,29
28,red-green-japan,1,1
29,blue-japan,1,2
