id,version_group_id,identifier
1,1,red
2,1,blue
3,2,yellow
4,3,gold
5,3,silver
6,4,crystal
7,5,ruby
8,5,sapphire
9,6,emerald
10,7,firered
11,7,leafgreen
12,8,diamond
13,8,pearl
14,9,platinum
15,10,heartgold
16,10,soulsilver
17,11,black
18,11,white
19,12,colosseum
20,13,xd
21,14,black-2
22,14,white-2
23,15,x
24,15,y
25,16,omega-ruby
26,16,alpha-sapphire
27,17,sun
28,17,moon
29,18,ultra-sun
30,18,ultra-moon
31,19,lets-go-pikachu
32,19,lets-go-eevee
33,20,sword
34,20,shield
35,21,the-isle-of-armor
36,22,the-crown-tundra
37,23,brilliant-diamond
38,23,shining-pearl
39,24,legends-arceus
40,25,scarlet
41,25,violet
42,26,the-teal-mask
43,27,the-indigo-disk
