move_effect_id,local_language_id,short_effect,effect
1,9,Inflicts regular damage with no additional effect.,Inflicts [regular damage].
2,9,Puts the target to sleep.,Puts the target to [sleep].
3,9,Has a $effect_chance% chance to [poison] the target.,Inflicts [regular damage].  Has a $effect_chance% chance to [poison] the target.
4,9,Drains half the damage inflicted to heal the user.,Inflicts [regular damage].  [Drains] half the damage inflicted to heal the user.
5,9,Has a $effect_chance% chance to [burn] the target.,Inflicts [regular damage].  Has a $effect_chance% chance to [burn] the target.
6,9,Has a $effect_chance% chance to [freeze] the target.,Inflicts [regular damage].  Has a $effect_chance% chance to [freeze] the target.
7,9,Has a $effect_chance% chance to [paralyze] the target.,Inflicts [regular damage].  Has a $effect_chance% chance to [paralyze] the target.
8,9,User faints.,"User [faint], even if the attack [fail] or [miss].  Inflicts [regular damage]."
9,9,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,[Fails] if not used on a [sleep] Pokémon.  Inflicts [regular damage].  [Drains] half the damage inflicted to heal the user.
10,9,Uses the target's last used move.,"Uses the last move targeted at the user by a Pokémon still on the [field].  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the [field] itself do not count.  If the user has not been targeted by an appropriate move since entering the [field], or if no Pokémon that targeted the user remains on the [field], this move will [fail].

Moves that [fail], [miss], had [no effect], or were [block] are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acupressure, assist, chatter, copycat, counter, curse, doom-desire, feint, focus-punch, future-sight, helping-hand, magic-coat, me-first, metronome, mimic, mirror-coat, mirror-move, nature-power, perish-song, psych-up, role-play, sketch, sleep-talk, snatch, spit-up, struggle, and transform.

This move cannot be selected by assist, metronome, or sleep-talk, nor forced by encore."
11,9,Raises the user's Attack by one stage.,Raises the user's [Attack] by one [stage].
12,9,Raises the user's Defense by one stage.,Raises the user's [Defense] by one [stage].
14,9,Raises the user's Special Attack by one stage.,Raises the user's [Special Attack] by one [stage].
17,9,Raises the user's evasion by one stage.,Raises the user's [evasion] by one [stage].
18,9,Never misses.,Inflicts [regular damage].  Ignores [accuracy] and [evasion] modifiers.
19,9,Lowers the target's Attack by one stage.,Lowers the target's [Attack] by one [stage].
20,9,Lowers the target's Defense by one stage.,Lowers the target's [Defense] by one [stage].
21,9,Lowers the target's Speed by one stage.,Lowers the target's [Speed] by one [stage].
24,9,Lowers the target's accuracy by one stage.,Lowers the target's [accuracy] by one [stage].
25,9,Lowers the target's evasion by one stage.,Lowers the target's [evasion] by one [stage].
26,9,"Resets all Pokémon's stats, accuracy, and evasion.","Removes [stat], [accuracy], and [evasion] modifiers from every Pokémon on the [field].

This does not count as a stat reduction for the purposes of clear-body or white-smoke."
27,9,"User waits for two turns, then hits back for twice the damage it took.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is [typeless].

This move cannot be selected by sleep-talk."
28,9,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage].  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused].

safeguard does not protect against the [confusion] from this move."
29,9,Immediately ends wild battles.  Forces trainers to switch Pokémon.,"[Switch] the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction-cups or under the effect of ingrain."
30,9,Hits 2-5 times in one turn.,"Inflicts [regular damage].  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
31,9,User's type changes to the type of one of its moves at random.,"User's [type] changes to the [type] of one of its moves, selected at random.  hidden-power and weather-ball are treated as normal.  Only moves with a different [type] are eligible, and curse is never eligible.  If the user has no suitable moves, this move will [fail]."
32,9,Has a $effect_chance% chance to make the target flinch.,Inflicts [regular damage].  Has a $effect_chance% chance to make the target flinch.
33,9,Heals the user by half its max HP.,Heals the user for half its max [HP].
34,9,"Badly poisons the target, inflicting more damage every turn.",[Badly poisons] the target.  Never misses when used by a poison-type Pokémon.
35,9,Scatters money on the ground worth five times the user's level.,"Inflicts [regular damage].  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
36,9,Reduces damage from special attacks by 50% for five turns.,"Erects a barrier around the user's side of the field that reduces damage from [special] attacks by half for five turns.  In double battles, the reduction is 1/3.  [Critical hit] are not affected by the barrier.

If the user is holding light-clay, the barrier lasts for eight turns.

brick-break or defog used by an opponent will destroy the barrier."
37,9,"Has a $effect_chance% chance to [burn], [freeze], or [paralyze] the target.","Inflicts [regular damage].  Has a $effect_chance% chance to [burn], [freeze], or [paralyze] the target.  One of these effects is selected at random; they do not each have independent chances to occur."
38,9,"User sleeps for two turns, completely healing itself.","User falls to [sleep] and immediately regains all its [HP].  If the user has another [major status effect]-effect, [sleep] will replace it.  The user will always wake up after two turns, or one turn with early-bird.

This move [fail] if the Pokémon cannot fall asleep due to uproar, insomnia, or vital-spirit.  It also fails if the Pokémon is at full health or is already asleep."
39,9,Causes a one-hit KO.,"Inflicts damage equal to the target's max [HP].  Ignores [accuracy] and [evasion] modifiers.  This move's [accuracy] is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will [fail].

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock-on, mind-reader, and no-guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
40,9,Requires a turn to charge before attacking.,"Inflicts [regular damage].  User's [critical hit] rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep-talk."
41,9,Inflicts damage equal to half the target's HP.,Inflicts [typeless] damage equal to half the target's remaining [HP].
42,9,Inflicts 40 points of damage.,Inflicts exactly 40 damage.
43,9,Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts [regular damage].  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the [field], this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid-spin cancels this effect."
44,9,Has an increased chance for a critical hit.,Inflicts [regular damage].  User's [critical hit] rate is one level higher when using this move.
45,9,Hits twice in one turn.,Inflicts [regular damage].  Hits twice in one turn.
46,9,"If the user misses, it takes half the damage it would have inflicted in recoil.","Inflicts [regular damage].  If this move misses, is blocked by protect or detect, or has no effect, the user takes half the damage it would have inflicted in recoil.  This recoil damage will not exceed half the user's max HP.

This move cannot be used while gravity is in effect."
47,9,Protects the user's stats from being changed by enemy moves.,"Pokémon on the user's side of the [field] are immune to stat-lowering effects for five turns.

guard-swap, heart-swap, and power-swap may still be used.

defog used by an opponent will end this effect."
48,9,Increases the user's chance to score a critical hit.,"User's [critical hit] rate is two levels higher until it leaves the field.  If the user has already used focus-energy since entering the field, this move will [fail].

This effect is passed on by baton-pass."
49,9,User receives 1/4 the damage it inflicts in recoil.,Inflicts [regular damage].  User takes 1/4 the damage it inflicts in recoil.
50,9,Confuses the target.,[Confuse] the target.
51,9,Raises the user's Attack by two stages.,Raises the user's [Attack] by two [stages].
52,9,Raises the user's Defense by two stages.,Raises the user's [Defense] by two [stages].
53,9,Raises the user's Speed by two stages.,Raises the user's [Speed] by two [stages].
54,9,Raises the user's Special Attack by two stages.,Raises the user's [Special Attack] by two [stages].
55,9,Raises the user's Special Defense by two stages.,Raises the user's [Special Defense] by two [stages].
