id,item_id,firmness_id,natural_gift_power,natural_gift_type_id,size,max_harvest,growth_time,soil_dryness,smoothness
1,126,2,60,10,20,5,3,15,25
2,127,5,60,11,80,5,3,15,25
3,128,1,60,13,40,5,3,15,25
4,129,3,60,12,32,5,3,15,25
5,130,5,60,15,50,5,3,15,25
6,131,4,60,2,28,5,4,15,20
7,132,5,60,4,35,5,4,15,20
8,133,3,60,5,47,5,4,15,20
9,134,5,60,3,34,5,12,8,20
10,135,4,60,14,95,5,8,7,20
11,136,2,60,7,100,5,5,10,25
12,137,3,60,6,115,5,5,10,25
13,138,3,60,8,126,5,5,10,25
14,139,5,60,16,64,5,5,10,25
15,140,2,60,17,223,5,5,10,25
16,141,4,60,9,120,10,2,35,20
17,142,2,70,10,108,10,2,35,20
18,143,4,70,11,77,10,2,35,20
19,144,5,70,13,74,10,2,35,20
20,145,3,70,12,80,10,2,35,20
21,146,4,70,15,135,5,8,8,20
22,147,3,70,2,150,5,8,8,20
23,148,3,70,4,110,5,8,8,20
24,149,3,70,5,162,5,8,8,20
25,150,2,70,3,149,5,8,8,20
26,151,2,70,14,200,5,8,8,30
27,152,3,70,7,75,10,6,10,30
28,153,3,70,6,140,10,6,10,30
29,154,2,70,8,226,10,6,10,30
30,155,5,70,16,285,10,6,10,30
31,156,2,70,17,133,15,15,8,35
32,157,1,70,9,244,15,15,8,35
33,158,2,80,10,250,15,15,8,35
34,159,3,80,11,280,15,15,8,35
35,160,1,80,13,300,15,15,8,35
36,161,5,60,10,90,5,18,6,30
37,162,2,60,11,33,5,18,6,30
38,163,1,60,13,250,5,18,6,30
39,164,2,60,12,156,5,18,6,30
40,165,4,60,15,135,5,18,6,30
41,166,2,60,2,77,5,18,6,30
42,167,3,60,4,90,5,18,6,30
43,168,2,60,5,42,5,18,6,30
44,169,4,60,3,278,5,18,6,30
45,170,2,60,14,252,5,18,6,30
46,171,1,60,7,42,5,18,6,35
47,172,1,60,6,28,5,18,6,35
48,173,3,60,8,144,5,18,6,35
49,174,2,60,16,23,5,18,6,35
50,175,5,60,17,39,5,18,6,35
51,176,5,60,9,265,5,18,6,35
52,177,1,60,1,34,5,18,6,35
53,178,4,80,12,111,5,24,4,40
54,179,4,80,15,33,5,24,4,40
55,180,4,80,2,95,5,24,4,40
56,181,4,80,4,237,5,24,4,40
57,182,3,80,5,75,5,24,4,40
58,183,2,80,3,97,5,24,4,50
59,184,5,80,14,153,5,24,4,50
60,185,3,80,7,155,5,24,7,60
61,186,2,80,6,41,5,24,7,60
62,187,5,80,8,267,5,24,7,60
63,188,2,80,16,33,5,24,7,60
64,189,1,80,17,52,5,24,7,60
