characteristic_id,local_language_id,message
1,5,Adore manger
1,9,Loves to eat
2,5,Est fier de sa puissance
2,9,Proud of its power
3,5,Corps robuste
3,9,Sturdy body
4,5,Extrêmement curieux
4,9,Highly curious
5,5,Très volontaire
5,9,Strong willed
6,5,Aime courir
6,9,Likes to run
7,5,S'assoupit souvent
7,9,Takes plenty of siestas
8,5,Aime se démener
8,9,Likes to thrash about
9,5,Sait encaisser les coups
9,9,Capable of taking hits
10,5,Coquin
10,9,Mischievous
11,5,Un peu vaniteux
11,9,Somewhat vain
12,5,Attentif aux sons
12,9,Alert to sounds
13,5,Dort beaucoup
13,9,Nods off a lot
14,5,Un peu coléreux
14,9,A little quick tempered
15,5,Très obstiné
15,9,Highly persistent
16,5,Très astucieux
16,9,Thoroughly cunning
17,5,Esprit rebelle
17,9,Strongly defiant
18,5,Bête et impulsif
18,9,Impetuous and silly
19,5,Éparpille des choses
19,9,Scatters things often
20,5,Aime combattre
20,9,Likes to fight
21,5,Bonne endurance
21,9,Good endurance
22,5,Souvent dans la lune
22,9,Often lost in thought
23,5,A horreur de perdre
23,9,Hates to lose
24,5,Aime faire le pitre
24,9,Somewhat of a clown
25,5,Aime se détendre
25,9,Likes to relax
26,5,S'emporte facilement
26,9,Quick tempered
27,5,Persévérant
27,9,Good perseverance
28,5,Très particulier
28,9,Very finicky
29,5,Assez entêté
29,9,Somewhat stubborn
30,5,Fuit rapidement
30,9,Quick to flee
