pokemon_species_id,slot,ability_id
4,1,66
4,2,10016
4,3,10028
5,1,66
5,2,10016
5,3,10028
6,1,66
6,2,10028
6,3,10029
15,1,10031
15,2,10001
15,3,68
23,1,22
23,2,61
23,3,10039
24,1,22
24,2,61
24,3,10039
25,1,9
25,2,10035
25,3,31
26,1,9
26,2,10007
26,3,31
39,1,10036
39,2,10041
39,3,10042
40,1,10036
40,2,10041
40,3,10042
41,1,10025
41,2,39
41,3,10026
42,1,10040
42,2,39
42,3,10026
52,1,10001
52,2,10043
52,3,10044
53,1,10001
53,2,7
53,3,10052
63,1,10007
63,2,10022
63,3,10047
64,1,10007
64,2,10022
64,3,10005
65,1,10007
65,2,10022
65,3,39
66,1,62
66,2,10004
66,3,10027
67,1,62
67,2,10004
67,3,10027
68,1,62
68,2,10057
68,3,10027
92,1,26
93,1,26
94,1,26
95,1,5
95,2,10009
95,3,10039
111,1,31
111,2,10027
111,3,10009
112,1,31
112,2,10027
112,3,10009
123,1,68
123,2,10006
123,3,10031
129,1,10017
129,2,10041
129,3,10059
130,1,22
130,2,10039
130,3,10011
131,1,75
131,2,10002
131,3,11
133,1,10050
133,2,10005
133,3,10035
134,1,10002
134,2,10055
134,3,11
135,1,10050
135,2,10031
135,3,10
136,1,10015
136,2,10054
136,3,18
143,1,10013
143,2,17
143,3,47
144,1,10010
147,1,61
147,2,10007
147,3,10041
148,1,61
148,2,10007
148,3,10001
149,1,39
149,2,10042
149,3,10029
150,1,10022
169,1,10049
169,2,39
169,3,10026
172,1,9
172,2,10041
172,3,10033
174,1,10036
174,2,10041
174,3,10042
179,1,9
179,2,10040
179,3,10037
180,1,9
180,2,10040
180,3,10037
181,1,9
181,2,10040
181,3,10042
194,1,10017
194,2,10013
194,3,11
195,1,10058
195,2,10013
195,3,11
196,1,10001
196,2,10007
196,3,10047
197,1,10058
197,2,10025
197,3,10008
200,1,26
204,1,5
204,2,10009
204,3,10045
205,1,5
205,2,10009
205,3,10045
208,1,5
208,2,10009
208,3,10039
