location_area_id,encounter_method_id,version_id,rate
1,2,12,25
1,2,13,25
1,2,14,25
1,3,12,50
1,3,13,50
1,3,14,50
1,4,12,75
1,4,13,75
1,4,14,75
1,5,12,10
1,5,13,10
1,5,14,10
2,2,12,25
2,2,13,25
2,2,14,25
2,3,12,50
2,3,13,50
2,3,14,50
2,4,12,75
2,4,13,75
2,4,14,75
2,5,12,10
2,5,13,10
2,5,14,10
3,2,12,25
3,2,13,25
3,2,14,25
3,3,12,50
3,3,13,50
3,3,14,50
3,4,12,75
3,4,13,75
3,4,14,75
3,5,12,10
3,5,13,10
3,5,14,10
4,2,12,25
4,2,13,25
4,2,14,25
4,3,12,50
4,3,13,50
4,3,14,50
4,4,12,75
4,4,13,75
4,4,14,75
4,5,12,10
4,5,13,10
4,5,14,10
5,2,12,25
5,2,13,25
5,2,14,25
5,3,12,50
5,3,13,50
5,3,14,50
5,4,12,75
5,4,13,75
5,4,14,75
5,5,12,10
5,5,13,10
5,5,14,10
6,1,12,10
6,1,13,10
6,1,14,10
7,1,12,10
7,1,13,10
7,1,14,10
8,1,12,30
8,1,13,30
8,1,14,30
8,2,12,25
8,2,13,25
8,2,14,25
8,3,12,50
8,3,13,50
8,3,14,50
8,4,12,75
8,4,13,75
8,4,14,75
8,5,12,10
8,5,13,10
8,5,14,10
9,1,12,30
9,1,13,30
9,1,14,30
10,1,12,30
10,1,13,30
10,1,14,30
10,2,12,25
10,2,13,25
10,2,14,25
10,3,12,50
10,3,13,50
10,3,14,50
10,4,12,75
10,4,13,75
10,4,14,75
10,5,12,10
10,5,13,10
10,5,14,10
11,1,12,10
11,1,13,10
11,1,14,10
11,2,12,25
11,2,13,25
11,2,14,25
11,3,12,50
11,3,13,50
11,3,14,50
11,4,12,75
11,4,13,75
11,4,14,75
11,5,12,10
11,5,13,10
11,5,14,10
12,1,12,10
12,1,13,10
12,1,14,10
13,1,12,10
13,1,13,10
13,1,14,10
14,1,12,30
14,1,13,30
14,1,14,30
15,1,12,30
15,1,13,30
15,1,14,30
16,1,12,10
16,1,13,10
16,1,14,10
16,2,12,25
16,2,13,25
16,2,14,25
16,3,12,50
16,3,13,50
16,3,14,50
16,4,12,75
16,4,13,75
16,4,14,75
16,5,12,10
16,5,13,10
16,5,14,10
17,1,12,15
17,1,13,15
17,1,14,15
18,1,12,15
18,1,13,15
18,1,14,15
19,1,12,15
19,1,13,15
19,1,14,15
20,1,12,10
20,1,13,10
20,1,14,10
21,1,12,10
21,1,13,10
21,1,14,10
22,1,12,10
22,1,13,10
22,1,14,10
23,1,12,10
23,1,13,10
23,1,14,10
23,2,12,25
23,2,13,25
23,2,14,25
23,3,12,50
23,3,13,50
23,3,14,50
23,4,12,75
23,4,13,75
23,4,14,75
23,5,12,10
23,5,13,10
23,5,14,10
24,1,12,35
24,1,13,35
24,1,14,35
24,2,12,25
24,2,13,25
24,2,14,25
24,3,12,50
24,3,13,50
24,3,14,50
24,4,12,75
24,4,13,75
24,4,14,75
24,5,12,15
24,5,13,15
24,5,14,15
25,1,12,35
25,1,13,35
25,1,14,35
25,2,12,25
25,2,13,25
25,2,14,25
25,3,12,50
25,3,13,50
25,3,14,50
25,4,12,75
25,4,13,75
25,4,14,75
25,5,12,15
25,5,13,15
25,5,14,15
26,1,12,35
26,1,13,35
26,1,14,35
26,2,12,25
26,2,13,25
26,2,14,25
26,3,12,50
26,3,13,50
26,3,14,50
26,4,12,75
26,4,13,75
26,4,14,75
26,5,12,15
26,5,13,15
26,5,14,15
27,1,12,35
27,1,13,35
27,1,14,35
27,2,12,25
27,2,13,25
27,2,14,25
27,3,12,50
27,3,13,50
27,3,14,50
27,4,12,75
27,4,13,75
27,4,14,75
27,5,12,15
27,5,13,15
27,5,14,15
28,1,12,35
