nature_id,move_battle_style_id,low_hp_preference,high_hp_preference
1,1,61,61
1,2,7,7
1,3,32,32
2,1,32,30
2,2,58,20
2,3,10,50
3,1,34,35
3,2,60,45
3,3,6,20
4,1,25,40
4,2,62,50
4,3,13,10
5,1,30,62
5,2,20,10
5,3,50,28
6,1,84,20
6,2,8,25
6,3,8,55
7,1,56,56
7,2,22,22
7,3,22,22
8,1,34,44
8,2,6,50
8,3,60,6
9,1,90,18
9,2,5,70
9,3,5,12
10,1,88,58
10,2,6,37
10,3,6,5
11,1,70,38
11,2,15,31
11,3,15,31
12,1,28,69
12,2,55,6
12,3,17,25
13,1,30,30
13,2,58,58
13,3,12,12
14,1,42,42
14,2,5,50
14,3,53,8
15,1,27,30
15,2,6,13
15,3,67,57
16,1,35,35
16,2,60,5
16,3,5,60
17,1,70,20
17,2,22,70
17,3,8,10
18,1,29,35
18,2,6,10
18,3,65,55
19,1,56,56
19,2,22,22
19,3,22,22
20,1,56,56
20,2,22,22
20,3,22,22
21,1,32,70
21,2,60,15
21,3,8,15
22,1,75,25
22,2,15,15
22,3,10,60
23,1,56,56
23,2,22,22
23,3,22,22
24,1,22,88
24,2,20,6
24,3,58,6
25,1,29,34
25,2,11,11
25,3,60,55
