nature_id,local_language_id,name
1,1,がんばりや
1,3,노력
1,5,Hardi
1,6,Robust
1,7,Fuerte
1,8,Ardita
1,9,Hardy
2,1,ずぶとい
2,3,대담
2,5,Assuré
2,6,Kühn
2,7,Osado
2,8,Sicura
2,9,Bold
3,1,ひかえめ
3,3,조심
3,5,Modeste
3,6,Mäßig
3,7,Modesto
3,8,Modesta
3,9,Modest
4,1,おだやか
4,3,차분
4,5,Calme
4,6,Still
4,7,Sereno
4,8,Calma
4,9,Calm
5,1,おくびょう
5,3,겁쟁이
5,5,Timide
5,6,Scheu
5,7,Miedoso
5,8,Timida
5,9,Timid
6,1,さみしがり
6,3,외로움
6,5,Solo
6,6,Solo
6,7,Huraño
6,8,Schiva
6,9,Lonely
7,1,すなお
7,3,온순
7,5,Docile
7,6,Sanft
7,7,Dócil
7,8,Docile
7,9,Docile
8,1,おっとり
8,3,의젓
8,5,Doux
8,6,Mild
8,7,Afable
8,8,Mite
8,9,Mild
9,1,おとなしい
9,3,얌전
9,5,Gentil
9,6,Zart
9,7,Amable
9,8,Gentile
9,9,Gentle
10,1,せっかち
10,3,성급
10,5,Pressé
10,6,Hastig
10,7,Activo
10,8,Lesta
10,9,Hasty
11,1,いじっぱり
11,3,고집
11,5,Rigide
11,6,Hart
11,7,Firme
11,8,Decisa
11,9,Adamant
12,1,わんぱく
12,3,장난꾸러기
12,5,Malin
12,6,Pfiffig
12,7,Agitado
12,8,Scaltra
12,9,Impish
13,1,てれや
13,3,수줍음
13,5,Pudique
13,6,Zaghaft
13,7,Tímido
13,8,Ritrosa
13,9,Bashful
14,1,しんちょう
14,3,신중
14,5,Prudent
14,6,Sacht
14,7,Cauto
14,8,Cauta
14,9,Careful
15,1,うっかりや
15,3,덜렁
15,5,Foufou
15,6,Hitzig
15,7,Alocado
15,8,Ardente
15,9,Rash
16,1,ようき
16,3,명랑
16,5,Jovial
16,6,Froh
16,7,Alegre
16,8,Allegra
16,9,Jolly
17,1,やんちゃ
17,3,개구쟁이
17,5,Mauvais
17,6,Frech
17,7,Pícaro
17,8,Birbona
17,9,Naughty
18,1,のうてんき
18,3,촐랑
18,5,Lâche
18,6,Lasch
18,7,Flojo
18,8,Fiacca
18,9,Lax
19,1,きまぐれ
19,3,변덕
19,5,Bizarre
19,6,Kauzig
19,7,Raro
19,8,Furba
19,9,Quirky
20,1,むじゃき
20,3,천진난만
20,5,Naïf
20,6,Naiv
20,7,Ingenuo
20,8,Ingenua
20,9,Naive
21,1,ゆうかん
21,3,용감
21,5,Brave
21,6,Mutig
21,7,Audaz
21,8,Audace
21,9,Brave
22,1,のんき
22,3,무사태평
22,5,Relax
22,6,Locker
22,7,Plácido
22,8,Placida
22,9,Relaxed
23,1,れいせい
23,3,냉정
23,5,Discret
23,6,Ruhig
23,7,Manso
23,8,Quieta
23,9,Quiet
24,1,なまいき
24,3,건방
24,5,Malpoli
24,6,Forsch
24,7,Grosero
24,8,Vivace
24,9,Sassy
25,1,まじめ
25,3,성실
25,5,Sérieux
25,6,Ernst
25,7,Serio
25,8,Seria
25,9,Serious
