id,identifier,decreased_stat_id,increased_stat_id,hates_flavor_id,likes_flavor_id,game_index
1,hardy,2,2,1,1,0
2,bold,2,3,1,5,5
3,modest,2,4,1,2,15
4,calm,2,5,1,4,20
5,timid,2,6,1,3,10
6,lonely,3,2,5,1,1
7,docile,3,3,5,5,6
8,mild,3,4,5,2,16
9,gentle,3,5,5,4,21
10,hasty,3,6,5,3,11
11,adamant,4,2,2,1,3
12,impish,4,3,2,5,8
13,bashful,4,4,2,2,18
14,careful,4,5,2,4,23
15,rash,5,4,4,2,19
16,jolly,4,6,2,3,13
17,naughty,5,2,4,1,4
18,lax,5,3,4,5,9
19,quirky,5,5,4,4,24
20,naive,5,6,4,3,14
21,brave,6,2,3,1,2
22,relaxed,6,3,3,5,7
23,quiet,6,4,3,2,17
24,sassy,6,5,3,4,22
25,serious,6,6,3,3,12
