id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,236,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,240,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,239,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,178,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,178,19,1
16,pidgey,16,3,18,50,21,1
17,pidgeotto,17,11,300,122,22,1
18,pidgeot,18,15,395,216,23,1
19,rattata,19,3,35,51,25,1
20,raticate,20,7,185,145,27,1
21,spearow,21,3,20,52,30,1
22,fearow,22,12,380,155,31,1
23,ekans,23,20,69,58,32,1
24,arbok,24,35,650,157,33,1
25,pikachu,25,4,60,112,35,1
26,raichu,26,8,300,218,42,1
27,sandshrew,27,6,120,60,44,1
28,sandslash,28,10,295,158,46,1
29,nidoran-f,29,4,70,55,48,1
30,nidorina,30,8,200,128,49,1
31,nidoqueen,31,13,600,227,50,1
32,nidoran-m,32,5,90,55,51,1
33,nidorino,33,9,195,128,52,1
34,nidoking,34,14,620,227,53,1
35,clefairy,35,6,75,113,55,1
36,clefable,36,13,400,217,56,1
37,vulpix,37,6,99,60,57,1
38,ninetales,38,11,199,177,59,1
39,jigglypuff,39,5,55,95,62,1
40,wigglytuff,40,10,120,196,63,1
41,zubat,41,8,75,49,64,1
42,golbat,42,16,550,159,65,1
43,oddish,43,5,54,64,67,1
44,gloom,44,8,86,138,68,1
45,vileplume,45,12,186,221,69,1
46,paras,46,3,54,57,71,1
47,parasect,47,10,295,142,72,1
48,venonat,48,10,300,61,73,1
49,venomoth,49,15,125,158,74,1
50,diglett,50,2,8,53,75,1
51,dugtrio,51,7,333,149,77,1
52,meowth,52,4,42,58,79,1
53,persian,53,10,320,154,81,1
54,psyduck,54,8,196,64,83,1
55,golduck,55,17,766,175,84,1
56,mankey,56,5,280,61,85,1
57,primeape,57,10,320,159,86,1
58,growlithe,58,7,190,70,87,1
59,arcanine,59,19,1550,194,88,1
60,poliwag,60,6,124,60,89,1
61,poliwhirl,61,10,200,135,90,1
62,poliwrath,62,13,540,230,91,1
63,abra,63,9,195,62,93,1
64,kadabra,64,13,565,140,94,1
65,alakazam,65,15,480,225,95,1
66,machop,66,8,195,61,97,1
67,machoke,67,15,705,142,98,1
68,machamp,68,16,1300,227,99,1
69,bellsprout,69,7,40,60,100,1
70,weepinbell,70,10,64,137,101,1
71,victreebel,71,17,155,221,102,1
72,tentacool,72,9,455,67,103,1
73,tentacruel,73,16,550,180,104,1
74,geodude,74,4,200,60,105,1
75,graveler,75,10,1050,137,107,1
76,golem,76,14,3000,223,109,1
77,ponyta,77,10,300,82,111,1
78,rapidash,78,17,950,175,112,1
79,slowpoke,79,12,360,63,113,1
80,slowbro,80,16,785,172,114,1
81,magnemite,81,3,60,65,117,1
82,magneton,82,10,600,163,118,1
83,farfetchd,83,8,150,132,120,1
84,doduo,84,14,392,62,121,1
85,dodrio,85,18,852,165,122,1
86,seel,86,11,900,65,123,1
87,dewgong,87,17,1200,166,124,1
88,grimer,88,9,300,65,125,1
89,muk,89,12,300,175,127,1
90,shellder,90,3,40,61,129,1
91,cloyster,91,15,1325,184,130,1
92,gastly,92,13,1,62,131,1
93,haunter,93,16,1,142,132,1
94,gengar,94,15,405,225,133,1
95,onix,95,88,2100,77,135,1
96,drowzee,96,10,324,66,138,1
97,hypno,97,16,756,169,139,1
98,krabby,98,4,65,65,140,1
99,kingler,99,13,600,166,141,1
100,voltorb,100,5,104,66,142,1
101,electrode,101,12,666,172,143,1
102,exeggcute,102,4,25,65,144,1
103,exeggutor,103,20,1200,186,145,1
104,cubone,104,4,65,64,147,1
105,marowak,105,10,450,149,148,1
106,hitmonlee,106,15,498,159,151,1
107,hitmonchan,107,14,502,159,152,1
108,lickitung,108,12,655,77,154,1
109,koffing,109,6,10,68,156,1
110,weezing,110,12,95,172,157,1
111,rhyhorn,111,10,1150,69,158,1
112,rhydon,112,19,1200,170,159,1
113,chansey,113,11,346,395,162,1
114,tangela,114,10,350,87,164,1
115,kangaskhan,115,22,800,172,166,1
116,horsea,116,4,80,59,168,1
117,seadra,117,12,250,154,169,1
118,goldeen,118,6,150,64,171,1
119,seaking,119,13,390,158,172,1
120,staryu,120,8,345,68,173,1
121,starmie,121,11,800,182,174,1
122,mr-mime,122,13,545,161,176,1
123,scyther,123,15,560,100,177,1
124,jynx,124,14,406,159,181,1
125,electabuzz,125,11,300,172,183,1
126,magmar,126,13,445,173,186,1
127,pinsir,127,15,550,175,188,1
128,tauros,128,14,884,172,190,1
129,magikarp,129,9,100,40,191,1
130,gyarados,130,65,2350,189,192,1
131,lapras,131,25,2200,187,194,1
132,ditto,132,3,40,101,195,1
133,eevee,133,3,65,65,196,1
134,vaporeon,134,10,290,184,197,1
135,jolteon,135,8,245,184,198,1
136,flareon,136,9,250,184,199,1
137,porygon,137,8,365,79,205,1
138,omanyte,138,4,75,71,208,1
139,omastar,139,10,350,173,209,1
140,kabuto,140,5,115,71,210,1
141,kabutops,141,13,405,173,211,1
142,aerodactyl,142,18,590,180,212,1
143,snorlax,143,21,4600,189,215,1
144,articuno,144,17,554,261,216,1
145,zapdos,145,16,526,261,217,1
146,moltres,146,20,600,261,218,1
147,dratini,147,18,33,60,219,1
148,dragonair,148,40,165,147,220,1
149,dragonite,149,22,2100,270,221,1
150,mewtwo,150,20,1220,306,222,1
151,mew,151,4,40,270,225,1
152,chikorita,152,9,64,64,226,1
153,bayleef,153,12,158,142,227,1
154,meganium,154,18,1005,236,228,1
155,cyndaquil,155,5,79,62,229,1
156,quilava,156,9,190,142,230,1
157,typhlosion,157,17,795,240,231,1
158,totodile,158,6,95,63,232,1
159,croconaw,159,11,250,142,233,1
160,feraligatr,160,23,888,239,234,1
161,sentret,161,8,60,43,235,1
162,furret,162,18,325,145,236,1
163,hoothoot,163,7,212,52,237,1
164,noctowl,164,16,408,158,238,1
165,ledyba,165,10,108,53,239,1
166,ledian,166,14,356,137,240,1
167,spinarak,167,5,85,50,241,1
168,ariados,168,11,335,140,242,1
169,crobat,169,18,750,241,66,1
170,chinchou,170,5,120,66,243,1
171,lanturn,171,12,225,161,244,1
172,pichu,172,3,20,41,34,1
173,cleffa,173,3,30,44,54,1
174,igglybuff,174,3,10,42,61,1
175,togepi,175,3,15,49,245,1
176,togetic,176,6,32,142,246,1
177,natu,177,2,20,64,248,1
178,xatu,178,15,150,165,249,1
179,mareep,179,6,78,56,250,1
180,flaaffy,180,8,133,128,251,1
181,ampharos,181,14,615,230,252,1
182,bellossom,182,4,58,221,70,1
183,marill,183,4,85,88,255,1
184,azumarill,184,8,285,189,256,1
185,sudowoodo,185,12,380,144,258,1
186,politoed,186,11,339,225,92,1
187,hoppip,187,4,5,50,259,1
188,skiploom,188,6,10,119,260,1
189,jumpluff,189,8,30,207,261,1
190,aipom,190,8,115,72,262,1
191,sunkern,191,3,18,36,264,1
192,sunflora,192,8,85,149,265,1
193,yanma,193,12,380,78,266,1
194,wooper,194,4,85,42,268,1
195,quagsire,195,14,750,151,269,1
196,espeon,196,9,265,184,200,1
197,umbreon,197,10,270,184,201,1
198,murkrow,198,5,21,81,270,1
199,slowking,199,20,795,172,116,1
200,misdreavus,200,7,10,87,272,1
201,unown,201,5,50,118,274,1
202,wobbuffet,202,13,285,142,276,1
203,girafarig,203,15,415,159,277,1
204,pineco,204,6,72,58,278,1
205,forretress,205,12,1258,163,279,1
206,dunsparce,206,15,140,145,280,1
207,gligar,207,11,648,86,281,1
208,steelix,208,92,4000,179,136,1
209,snubbull,209,6,78,60,283,1
210,granbull,210,14,487,158,284,1
211,qwilfish,211,5,39,88,285,1
212,scizor,212,18,1180,175,178,1
213,shuckle,213,6,205,177,286,1
214,heracross,214,15,540,175,287,1
215,sneasel,215,9,280,86,289,1
216,teddiursa,216,6,88,66,291,1
217,ursaring,217,18,1258,175,292,1
218,slugma,218,7,350,50,293,1
219,magcargo,219,8,550,151,294,1
220,swinub,220,4,65,50,295,1
221,piloswine,221,11,558,158,296,1
222,corsola,222,6,50,144,298,1
223,remoraid,223,6,120,60,299,1
224,octillery,224,9,285,168,300,1
225,delibird,225,9,160,116,301,1
226,mantine,226,21,2200,170,303,1
227,skarmory,227,17,505,163,304,1
228,houndour,228,6,108,66,305,1
229,houndoom,229,14,350,175,306,1
230,kingdra,230,18,1520,243,170,1
231,phanpy,231,5,335,66,308,1
232,donphan,232,11,1200,175,309,1
233,porygon2,233,6,325,180,206,1
234,stantler,234,14,712,163,310,1
235,smeargle,235,12,580,88,311,1
236,tyrogue,236,7,210,42,150,1
237,hitmontop,237,14,480,159,153,1
238,smoochum,238,4,60,61,180,1
239,elekid,239,6,235,72,182,1
240,magby,240,7,214,73,185,1
241,miltank,241,12,755,172,312,1
242,blissey,242,15,468,608,163,1
243,raikou,243,19,1780,261,313,1
244,entei,244,21,1980,261,314,1
245,suicune,245,20,1870,261,315,1
246,larvitar,246,6,720,60,316,1
247,pupitar,247,12,1520,144,317,1
248,tyranitar,248,20,2020,270,318,1
249,lugia,249,52,2160,306,320,1
250,ho-oh,250,38,1990,306,321,1
251,celebi,251,6,50,270,322,1
252,treecko,252,5,50,62,323,1
253,grovyle,253,9,216,142,324,1
254,sceptile,254,17,522,239,325,1
255,torchic,255,4,25,62,327,1
256,combusken,256,9,195,142,328,1
257,blaziken,257,19,520,239,329,1
258,mudkip,258,4,76,62,331,1
259,marshtomp,259,7,280,142,332,1
260,swampert,260,15,819,241,333,1
261,poochyena,261,5,136,56,335,1
262,mightyena,262,10,370,147,336,1
263,zigzagoon,263,4,175,56,337,1
264,linoone,264,5,325,147,338,1
265,wurmple,265,3,36,56,339,1
266,silcoon,266,6,100,72,340,1
267,beautifly,267,10,284,178,341,1
268,cascoon,268,7,115,72,342,1
269,dustox,269,12,316,173,343,1
270,lotad,270,5,26,44,344,1
271,lombre,271,12,325,119,345,1
272,ludicolo,272,15,550,216,346,1
273,seedot,273,5,40,44,347,1
274,nuzleaf,274,10,280,119,348,1
275,shiftry,275,13,596,216,349,1
276,taillow,276,3,23,54,350,1
277,swellow,277,7,198,159,351,1
278,wingull,278,6,95,54,352,1
279,pelipper,279,12,280,154,353,1
280,ralts,280,4,66,40,354,1
281,kirlia,281,8,202,97,355,1
282,gardevoir,282,16,484,233,356,1
283,surskit,283,5,17,54,360,1
284,masquerain,284,8,36,159,361,1
285,shroomish,285,4,45,59,362,1
286,breloom,286,12,392,161,363,1
287,slakoth,287,8,240,56,364,1
288,vigoroth,288,14,465,154,365,1
289,slaking,289,20,1305,252,366,1
290,nincada,290,5,55,53,367,1
291,ninjask,291,8,120,160,368,1
292,shedinja,292,8,12,83,369,1
293,whismur,293,6,163,48,370,1
294,loudred,294,10,405,126,371,1
295,exploud,295,15,840,221,372,1
296,makuhita,296,10,864,47,373,1
297,hariyama,297,23,2538,166,374,1
298,azurill,298,2,20,38,254,1
299,nosepass,299,10,970,75,375,1
300,skitty,300,6,110,52,377,1
301,delcatty,301,11,326,140,378,1
302,sableye,302,5,110,133,379,1
303,mawile,303,6,115,133,381,1
304,aron,304,4,600,66,383,1
305,lairon,305,9,1200,151,384,1
306,aggron,306,21,3600,239,385,1
307,meditite,307,6,112,56,387,1
308,medicham,308,13,315,144,388,1
