pokemon_form_id,pokeathlon_stat_id,minimum_stat,base_stat,maximum_stat
1,1,2,2,3
1,2,2,2,3
1,3,1,3,4
1,4,1,3,4
1,5,3,3,3
2,1,2,2,2
2,2,1,2,3
2,3,2,4,5
2,4,2,4,5
2,5,3,3,3
3,1,1,1,2
3,2,1,4,5
3,3,1,3,3
3,4,1,5,5
3,5,2,2,2
4,1,3,3,3
4,2,1,1,5
4,3,1,3,4
4,4,1,1,3
4,5,2,3,3
5,1,3,3,3
5,2,2,2,4
5,3,1,3,4
5,4,1,2,2
5,5,2,3,3
6,1,2,3,3
6,2,1,3,3
6,3,1,2,2
6,4,3,4,5
6,5,4,5,5
7,1,1,3,3
7,2,1,1,3
7,3,2,3,4
7,4,2,4,4
7,5,2,2,2
8,1,1,2,4
8,2,2,2,3
8,3,3,4,5
8,4,1,3,4
8,5,2,3,3
9,1,3,3,3
9,2,2,4,5
9,3,1,2,3
9,4,3,4,5
9,5,2,2,3
10,1,1,2,3
10,2,1,1,3
10,3,1,4,4
10,4,1,2,3
10,5,2,2,2
11,1,1,1,3
11,2,1,1,3
11,3,1,1,1
11,4,3,4,5
11,5,2,2,3
12,1,1,2,4
12,2,1,2,3
12,3,1,2,3
12,4,1,2,3
12,5,4,5,5
13,1,1,1,3
13,2,1,2,4
13,3,1,3,4
13,4,1,1,3
13,5,2,2,2
14,1,1,1,3
14,2,1,1,3
14,3,1,1,1
14,4,3,4,5
14,5,2,2,3
15,1,2,3,4
15,2,1,1,4
15,3,2,3,4
15,4,1,2,2
15,5,4,5,5
16,1,2,3,5
16,2,1,2,3
16,3,1,3,4
16,4,1,2,3
16,5,3,3,5
17,1,1,3,4
17,2,1,2,3
17,3,1,2,3
17,4,2,2,4
17,5,4,5,5
18,1,1,3,4
18,2,2,3,5
18,3,1,2,3
18,4,2,3,4
18,5,4,5,5
19,1,3,5,5
19,2,1,1,3
19,3,1,3,3
19,4,1,1,3
19,5,2,2,3
20,1,2,4,5
20,2,2,3,4
20,3,1,3,3
20,4,1,2,3
20,5,2,3,3
21,1,2,3,5
21,2,1,2,4
21,3,1,1,3
21,4,1,1,3
21,5,3,3,5
22,1,2,4,4
22,2,3,4,5
22,3,1,1,3
22,4,1,2,3
22,5,4,5,5
23,1,2,3,5
23,2,1,3,4
23,3,1,3,3
23,4,1,2,3
23,5,2,2,3
24,1,1,3,4
24,2,3,4,5
24,3,1,3,3
24,4,1,2,4
24,5,2,2,3
25,1,1,3,4
25,2,1,3,4
25,3,2,3,4
25,4,1,3,4
25,5,2,3,4
26,1,1,2,3
26,2,2,4,5
26,3,1,4,5
26,4,1,4,5
26,5,2,2,3
27,1,1,3,4
27,2,1,3,3
27,3,2,3,5
27,4,1,2,3
27,5,2,2,3
28,1,1,2,3
28,2,2,3,4
28,3,3,4,5
28,4,1,3,3
28,5,2,2,2
29,1,2,4,5
29,2,1,2,3
