pokemon,evolves_to,method,region,level,item,location,base_form_id
meowth,perrserker,level-up,galar,28,,,meowth
linoone,obstagoon,level-up,galar,35,,,linoone
corsola,cursola,trade,galar,20,,,corsola
yamask,runerigus,level-up,galar,,,dusty-bowl-arch,yamask
slowpoke,slowbro,use-item,galar,,galarica-cuff,,slowpoke
slowpoke,slowking,use-item,galar,,galarica-wreath,,slowpoke
ponyta,rapidash,level-up,galar,40,,,ponyta
farfetchd,sirfetchd,level-up,galar,50,,,farfetchd
weezing,weezing,level-up,galar,35,,,weezing
mr-mime,mr-rime,level-up,galar,42,,,mr-mime
darumaka,darmanitan,level-up,galar,35,,,darumaka
stunfisk,stunfisk,level-up,galar,40,,,stunfisk
scyther,kleavor,use-item,hisui,,black-augurite,,scyther
quilava,typhlosion,level-up,hisui,36,,,quilava
dewott,samurott,level-up,hisui,36,,,dewott
petilil,lilligant,use-item,hisui,,sun-stone,,petilil
rufflet,braviary,level-up,hisui,54,,,rufflet
goomy,sliggoo,level-up,hisui,40,,,goomy
sliggoo,goodra,level-up,hisui,50,,,sliggoo
voltorb,electrode,level-up,hisui,30,,,voltorb
growlithe,arcanine,use-item,hisui,,fire-stone,,growlithe
zorua,zoroark,level-up,hisui,30,,,zorua
basculin,basculegion,level-up,hisui,34,,,basculin
qwilfish,overqwil,level-up,hisui,28,,,qwilfish
ursaring,ursaluna,use-item,hisui,,peat-block,,ursaring
stantler,wyrdeer,level-up,hisui,31,,,stantler
sneasel,sneasler,use-item,hisui,,razor-claw,,sneasel
rattata,raticate,level-up,alola,20,,,rattata
sandshrew,sandslash,use-item,alola,,ice-stone,,sandshrew
vulpix,ninetales,use-item,alola,,ice-stone,,vulpix
diglett,dugtrio,level-up,alola,26,,,diglett
meowth,persian,level-up,alola,28,,,meowth
geodude,graveler,level-up,alola,25,,,geodude
graveler,golem,trade,alola,,,,,graveler
grimer,muk,level-up,alola,38,,,grimer
exeggutor,exeggutor,use-item,alola,,leaf-stone,,exeggutor
marowak,marowak,level-up,alola,28,,,marowak
