evolution_chain_id,name,region,region_id,base_form_id,base_form_name,location_id,location_region_id
7,rattata-alola,alola,7,19,rattata,,no evolution data
7,raticate-alola,alola,7,20,raticate,,region not required
10,raichu-alola,alola,7,26,raichu,,region not required
11,sandshrew-alola,alola,7,27,sandshrew,,no evolution data
11,sandslash-alola,alola,7,28,sandslash,,region not required
15,vulpix-alola,alola,7,37,vulpix,,no evolution data
15,ninetales-alola,alola,7,38,ninetales,,region not required
21,diglett-alola,alola,7,50,diglett,,no evolution data
21,dugtrio-alola,alola,7,51,dugtrio,,region not required
22,meowth-alola,alola,7,52,meowth,,no evolution data
22,persian-alola,alola,7,53,persian,,region not required
31,geodude-alola,alola,7,74,geodude,,no evolution data
31,graveler-alola,alola,7,75,graveler,,region not required
31,golem-alola,alola,7,76,golem,,region not required
38,grimer-alola,alola,7,88,grimer,,no evolution data
38,muk-alola,alola,7,89,muk,,region not required
45,exeggutor-alola,alola,7,103,exeggutor,,region not required
46,marowak-alola,alola,7,105,marowak,,region not required
22,meowth-galar,galar,8,52,meowth,,no evolution data
32,ponyta-galar,galar,8,77,ponyta,,no evolution data
32,rapidash-galar,galar,8,78,rapidash,,region not required
33,slowpoke-galar,galar,8,79,slowpoke,,no evolution data
33,slowbro-galar,galar,8,80,slowbro,,region not required
35,farfetchd-galar,galar,8,83,farfetchd,,no evolution data
49,weezing-galar,galar,8,110,weezing,,region not required
57,mr-mime-galar,galar,8,122,mr-mime,,region not required
73,articuno-galar,galar,8,144,articuno,,no evolution data
74,zapdos-galar,galar,8,145,zapdos,,no evolution data
75,moltres-galar,galar,8,146,moltres,,no evolution data
33,slowking-galar,galar,8,199,slowking,,region not required
113,corsola-galar,galar,8,222,corsola,,no evolution data
134,zigzagoon-galar,galar,8,263,zigzagoon,,no evolution data
134,linoone-galar,galar,8,264,linoone,,region not required
282,darumaka-galar,galar,8,554,darumaka,,no evolution data
287,yamask-galar,galar,8,562,yamask,,no evolution data
313,stunfisk-galar,galar,8,618,stunfisk,,no evolution data
25,growlithe-hisui,hisui,9,58,growlithe,,no evolution data
25,arcanine-hisui,hisui,9,59,arcanine,,region not required
44,voltorb-hisui,hisui,9,100,voltorb,,no evolution data
44,electrode-hisui,hisui,9,101,electrode,,region not required
80,typhlosion-hisui,hisui,9,157,typhlosion,,region not required
106,qwilfish-hisui,hisui,9,211,qwilfish,,no evolution data
109,sneasel-hisui,hisui,9,215,sneasel,,no evolution data
258,samurott-hisui,hisui,9,503,samurott,,region not required
279,lilligant-hisui,hisui,9,549,lilligant,,region not required
291,zorua-hisui,hisui,9,570,zorua,,no evolution data
291,zoroark-hisui,hisui,9,571,zoroark,,region not required
319,braviary-hisui,hisui,9,628,braviary,,region not required
362,sliggoo-hisui,hisui,9,705,sliggoo,,region not required
362,goodra-hisui,hisui,9,706,goodra,,region not required
366,avalugg-hisui,hisui,9,713,avalugg,,region not required
374,decidueye-hisui,hisui,9,724,decidueye,,region not required
96,wooper-paldea,paldea,10,194,wooper,,no evolution data
